# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,volume_bruto_brl,custo_sem_pool_brl,custo_pool_brl,economia_produto_brl,economia_produto_bps,taxa_netabilidade_pool,n_remessas_sem_pool,n_remessas_pool,delta_remessas,delta_bps_por_1bp_spread,delta_bps_por_1real_fixo,delta_bps_por_1bp_carry,delta_bps_por_1bp_oportunidade_aa,iof_evitado_brl,iof_evitado_bps,spread_evitado_brl,spread_evitado_bps,fixo_evitado_brl,fixo_evitado_bps,carry_criado_brl,carry_criado_bps,espera_criada_brl,espera_criada_bps,participacao_iof,participacao_spread,participacao_fixo,participacao_carry
retail_pesado,12,7,365,36,265713707.12,7902946.38,4857533.57,3045412.81,114.612560,0.503107,4544,263,4281,0.503107,0.161113,-0.503107,-0.003712,2593439.65,97.602780,334206.14,12.577678,171240.00,6.444530,-53472.98,-2.012428,0.00,0.000000,0.851589,0.109741,0.056229,-0.017559
retail_pesado,12,1,365,37,276901291.32,8381694.70,5378753.30,3002941.40,108.448082,0.475384,4594,274,4320,0.475384,0.156012,-0.475384,-0.006409,2553708.99,92.224524,329086.21,11.884604,172800.00,6.240491,-52653.79,-1.901537,0.00,0.000000,0.850403,0.109588,0.057544,-0.017534
retail_pesado,12,7,365,37,276901291.32,8381694.70,5372635.22,3009059.48,108.669030,0.476405,4594,273,4321,0.476405,0.156048,-0.476405,-0.006515,2559193.39,92.422588,329792.96,11.910127,172840.00,6.241935,-52766.87,-1.905620,0.00,0.000000,0.850496,0.109600,0.057440,-0.017536
retail_pesado,12,1,365,38,269697665.75,7782487.49,4254829.52,3527657.96,130.800463,0.579215,4455,228,4227,0.579215,0.156731,-0.579215,-0.004620,3030530.81,112.367706,390532.32,14.480375,169080.00,6.269242,-62485.17,-2.316860,0.00,0.000000,0.859077,0.110706,0.047930,-0.017713
retail_pesado,12,7,365,38,269697665.75,7782487.49,4253398.67,3529088.82,130.853517,0.579476,4455,230,4225,0.579476,0.156657,-0.579476,-0.004706,3031894.10,112.418255,390708.00,14.486889,169000.00,6.266276,-62513.28,-2.317902,0.00,0.000000,0.859115,0.110711,0.047888,-0.017714
retail_pesado,12,1,365,39,268759945.55,8091314.03,5179853.24,2911460.79,108.329416,0.475234,4392,257,4135,0.475234,0.153855,-0.475234,-0.004850,2477840.90,92.195319,319309.39,11.880840,165400.00,6.154191,-51089.50,-1.900934,0.00,0.000000,0.851064,0.109673,0.056810,-0.017548
retail_pesado,12,7,365,39,268759945.55,8091314.03,5175390.85,2915923.18,108.495452,0.476020,4392,259,4133,0.476020,0.153780,-0.476020,-0.004903,2481939.61,92.347824,319837.58,11.900493,165320.00,6.151214,-51174.01,-1.904079,0.00,0.000000,0.851168,0.109687,0.056696,-0.017550
retail_pesado,12,1,365,40,254224518.55,7153247.92,3886019.61,3267228.31,128.517435,0.567875,4314,231,4083,0.567875,0.160606,-0.567875,-0.003824,2800735.87,110.167811,360919.57,14.196883,163320.00,6.424243,-57747.13,-2.271501,0.00,0.000000,0.857221,0.110467,0.049987,-0.017675
retail_pesado,12,7,365,40,254224518.55,7153247.92,3853211.81,3300036.12,129.807940,0.573841,4314,226,4088,0.573841,0.160803,-0.573841,-0.003991,2830158.73,111.325168,364711.18,14.346027,163520.00,6.432110,-58353.79,-2.295364,0.00,0.000000,0.857614,0.110517,0.049551,-0.017683
retail_pesado,12,1,365,41,280859292.40,8182156.40,4718817.49,3463338.91,123.312242,0.545154,4536,250,4286,0.545154,0.152603,-0.545154,-0.003379,2970364.60,105.759883,382778.94,13.628851,171440.00,6.104124,-61244.63,-2.180616,0.00,0.000000,0.857659,0.110523,0.049501,-0.017684
retail_pesado,12,7,365,41,280859292.40,8182156.40,4709452.70,3472703.70,123.645676,0.546685,4536,247,4289,0.546685,0.152710,-0.546685,-0.003482,2978706.41,106.056894,383853.92,13.667125,171560.00,6.108397,-61416.63,-2.186740,0.00,0.000000,0.857749,0.110535,0.049402,-0.017686
retail_pesado,12,1,365,42,280863717.08,8376600.40,5209372.94,3167227.46,112.767412,0.495983,4549,244,4305,0.495983,0.153277,-0.495983,-0.005457,2702489.90,96.220684,348259.01,12.399573,172200.00,6.131087,-55721.44,-1.983932,0.00,0.000000,0.853267,0.109957,0.054369,-0.017593
retail_pesado,12,7,365,42,280863717.08,8376600.40,5205342.21,3171258.19,112.910924,0.496650,4549,244,4305,0.496650,0.153277,-0.496650,-0.005610,2706126.92,96.350178,348727.70,12.416260,172200.00,6.131087,-55796.43,-1.986602,0.00,0.000000,0.853329,0.109965,0.054300,-0.017594
retail_pesado,12,1,365,43,278432159.01,7754075.70,3904785.44,3849290.25,138.248767,0.614385,4516,231,4285,0.614385,0.153897,-0.614385,-0.004111,3318654.46,119.190774,427661.66,15.359636,171400.00,6.155898,-68425.87,-2.457542,0.00,0.000000,0.862147,0.111101,0.044528,-0.017776
retail_pesado,12,7,365,43,278432159.01,7754075.70,3890153.66,3863922.04,138.774273,0.616796,4516,226,4290,0.616796,0.154077,-0.616796,-0.004272,3331676.63,119.658470,429339.77,15.419906,171600.00,6.163081,-68694.36,-2.467185,0.00,0.000000,0.862253,0.111115,0.044411,-0.017778
retail_pesado,12,1,365,44,262029853.19,7839195.80,4737981.26,3101214.54,118.353482,0.520192,4514,248,4266,0.520192,0.162806,-0.520192,-0.005324,2644332.38,100.917218,340764.48,13.004796,170640.00,6.512235,-54522.32,-2.080767,0.00,0.000000,0.852676,0.109881,0.055024,-0.017581
retail_pesado,12,7,365,44,262029853.19,7839195.80,4714239.08,3124956.72,119.259569,0.524364,4514,242,4272,0.524364,0.163035,-0.524364,-0.005479,2665539.00,101.726539,343497.29,13.109090,170880.00,6.521394,-54959.57,-2.097454,0.00,0.000000,0.852984,0.109921,0.054682,-0.017587
retail_pesado,12,1,365,45,269532325.60,7828262.45,4472125.91,3356136.54,124.517033,0.549661,4519,247,4272,0.549661,0.158497,-0.549661,-0.005192,2874138.46,106.634277,370378.67,13.741530,170880.00,6.339870,-59260.59,-2.198645,0.00,0.000000,0.856383,0.110359,0.050916,-0.017657
