# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,finalidade,direcao,aliquota_base,delta_volume_remetido_brl,iof_evitado_brl_base,iof_evitado_bps_base,delta_bps_por_1bp_aliquota
equilibrado,8,7,365,3,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,60816883.54,231104.157452,6.546704,0.17228169
equilibrado,8,7,365,3,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,42954932.36,1503422.632600,42.588862,0.12168246
equilibrado,8,7,365,3,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,64534631.93,0.000000,0.000000,0.18281330
equilibrado,8,7,365,3,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,12301720.70,430560.224500,12.196883,0.03484824
equilibrado,8,1,365,4,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,26330840.88,100057.195344,2.792707,0.07349230
equilibrado,8,1,365,4,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,67903097.38,2376608.408300,66.333779,0.18952508
equilibrado,8,1,365,4,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,44030687.28,167316.611664,4.669992,0.12289454
equilibrado,8,1,365,4,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,42999964.41,163399.864758,4.560672,0.12001767
equilibrado,8,1,365,4,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,27312504.77,955937.666950,26.681281,0.07623223
equilibrado,8,1,365,4,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,80969897.92,0.000000,0.000000,0.22599597
equilibrado,8,1,365,4,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11054413.78,386904.482300,10.798934,0.03085410
equilibrado,8,7,365,4,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,27986517.38,106348.766044,2.968312,0.07811348
equilibrado,8,7,365,4,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,68685732.26,2404000.629100,67.098326,0.19170950
equilibrado,8,7,365,4,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,43670143.08,165946.543704,4.631752,0.12188822
equilibrado,8,7,365,4,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,41910989.90,159261.761620,4.445173,0.11697823
equilibrado,8,7,365,4,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,27312504.77,955937.666950,26.681281,0.07623223
equilibrado,8,7,365,4,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,80825286.61,0.000000,0.000000,0.22559235
equilibrado,8,7,365,4,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11054413.78,386904.482300,10.798934,0.03085410
equilibrado,8,1,365,5,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,19865518.62,75488.970756,2.629078,0.06918628
equilibrado,8,1,365,5,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,55638786.53,1947357.528550,67.821243,0.19377498
equilibrado,8,1,365,5,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,33344890.54,126710.584052,4.412990,0.11613132
equilibrado,8,1,365,5,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,26831393.30,101959.294540,3.550969,0.09344655
equilibrado,8,1,365,5,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,11684433.35,408955.167250,14.242812,0.04069375
equilibrado,8,1,365,5,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,65811342.26,0.000000,0.000000,0.22920326
equilibrado,8,1,365,5,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11840143.76,414405.031600,14.432616,0.04123605
equilibrado,8,7,365,5,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,21299206.99,80936.986562,2.818818,0.07417943
equilibrado,8,7,365,5,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,57244492.68,2003557.243800,69.778528,0.19936722
equilibrado,8,7,365,5,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,32441615.97,123278.140686,4.293447,0.11298545
equilibrado,8,7,365,5,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,27379325.84,104041.438192,3.623484,0.09535485
equilibrado,8,7,365,5,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,11684433.35,408955.167250,14.242812,0.04069375
equilibrado,8,7,365,5,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,64651681.66,0.000000,0.000000,0.22516448
equilibrado,8,7,365,5,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11959672.49,418588.537150,14.578317,0.04165233
equilibrado,8,1,365,6,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,25916481.11,98482.628218,3.093237,0.08140098
equilibrado,8,1,365,6,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,66642853.76,2332499.881600,73.261398,0.20931828
equilibrado,8,1,365,6,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,47311500.27,179783.701026,5.646819,0.14860051
equilibrado,8,1,365,6,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,47819614.81,181714.536278,5.707465,0.15019644
equilibrado,8,1,365,6,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,10147536.03,355163.761050,11.155325,0.03187236
equilibrado,8,1,365,6,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,64280951.44,0.000000,0.000000,0.20189979
equilibrado,8,1,365,6,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,13915157.30,487030.505500,15.297122,0.04370606
equilibrado,8,7,365,6,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,27051874.01,102797.121238,3.228751,0.08496713
equilibrado,8,7,365,6,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,67654108.22,2367893.787700,74.373084,0.21249453
equilibrado,8,7,365,6,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,47311500.27,179783.701026,5.646819,0.14860051
equilibrado,8,7,365,6,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,47952517.48,182219.566424,5.723327,0.15061388
equilibrado,8,7,365,6,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,9920541.19,347218.941650,10.905786,0.03115939
equilibrado,8,7,365,6,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,63796915.49,0.000000,0.000000,0.20037948
equilibrado,8,7,365,6,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,13915157.30,487030.505500,15.297122,0.04370606
equilibrado,8,1,365,7,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,21994397.76,83578.711488,2.304371,0.06064135
equilibrado,8,1,365,7,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,64576335.58,2260171.745300,62.315803,0.17804515
