# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,economia_base_bps,economia_piso_bps,economia_combinada_severa_bps,carry_break_even_base_bps,carry_break_even_piso_bps,spread_minimo_no_piso_bps
equilibrado,8,1,365,34,119.318158,45.780540,30.028440,163.069668,65.032582,0.000000
equilibrado,8,7,365,34,120.703356,45.431980,29.648485,164.596273,64.447421,0.000000
equilibrado,8,1,365,35,126.038426,44.693153,28.277663,165.238376,61.175035,0.000000
equilibrado,8,7,365,35,128.459853,44.615719,28.094284,167.282240,60.709971,0.000000
equilibrado,8,1,365,36,134.463269,41.961399,24.264300,163.558843,53.792872,0.000000
equilibrado,8,7,365,36,136.966143,42.409132,24.462553,164.269487,53.624598,0.000000
equilibrado,8,1,365,37,121.903518,45.712806,29.462460,161.533500,63.073754,0.000000
equilibrado,8,7,365,37,124.294305,44.409887,28.128398,164.315829,61.280242,0.000000
equilibrado,8,1,365,38,129.824026,50.687349,34.153881,168.896109,68.380584,0.000000
equilibrado,8,7,365,38,131.123890,50.606542,33.966877,169.484202,67.867715,0.000000
equilibrado,8,1,365,39,128.011436,51.452630,35.644691,174.056334,72.352062,0.000000
equilibrado,8,7,365,39,129.972694,51.333595,35.286571,174.089269,71.177908,0.000000
equilibrado,8,1,365,40,116.665071,43.419010,27.211042,155.158152,60.256232,0.000000
equilibrado,8,7,365,40,117.392993,43.579078,27.308446,155.515494,60.246164,0.000000
equilibrado,8,1,365,41,105.566292,27.701100,12.842298,153.197232,43.150067,0.000000
equilibrado,8,7,365,41,106.405930,26.896690,11.982091,153.821295,41.870981,0.000000
equilibrado,8,1,365,42,132.815046,58.255890,41.754573,173.023840,78.137942,0.000000
equilibrado,8,7,365,42,133.636752,57.348218,40.818068,173.772917,76.855514,0.000000
equilibrado,8,1,365,43,106.064653,38.743295,24.136640,156.489240,59.701267,0.000000
equilibrado,8,7,365,43,107.293828,37.405957,22.788949,158.147168,57.740485,0.000000
equilibrado,8,1,365,44,119.202291,38.555896,22.259896,157.611200,53.685434,0.000000
equilibrado,8,7,365,44,122.386727,37.218146,20.830838,160.836087,51.694293,0.000000
equilibrado,8,1,365,45,114.664591,41.104663,24.818491,151.852817,57.001892,0.000000
equilibrado,8,7,365,45,117.639102,41.241559,24.697759,153.326101,56.350290,0.000000
equilibrado,8,1,365,46,135.647451,35.819180,18.237350,166.019339,46.782963,0.000000
equilibrado,8,7,365,46,136.254247,35.732058,18.109173,166.364970,46.579477,0.000000
equilibrado,8,1,365,47,129.598177,34.513054,16.178521,152.439108,43.530548,0.000000
equilibrado,8,7,365,47,130.730425,34.452942,16.013157,152.881287,43.236454,0.000000
equilibrado,8,1,365,48,124.196010,49.319825,32.537843,159.411692,65.715972,0.000000
equilibrado,8,7,365,48,125.718201,49.148813,32.169641,159.489456,64.787715,0.000000
equilibrado,8,1,365,49,123.028016,38.278071,21.041901,153.893412,50.636781,0.000000
equilibrado,8,7,365,49,123.839740,37.555546,20.178277,153.657264,49.384949,0.000000
equilibrado,8,1,365,50,118.465443,37.436153,22.025912,165.436431,55.015375,0.000000
equilibrado,8,7,365,50,118.890847,37.382756,21.963443,165.920819,54.912636,0.000000
equilibrado,8,1,365,51,132.446979,56.062471,39.182839,168.777678,73.747486,0.000000
equilibrado,8,7,365,51,137.077177,57.114140,39.848927,170.729522,73.468991,0.000000
equilibrado,8,1,365,52,132.069517,32.370527,14.554631,159.673330,42.155873,0.000000
equilibrado,8,7,365,52,135.408670,32.591957,14.437961,160.636702,41.701402,0.000000
equilibrado,8,1,365,53,137.939696,61.935991,44.313505,168.377127,77.806602,0.000000
equilibrado,8,7,365,53,139.811682,61.700691,43.907643,169.010813,76.821391,0.000000
equilibrado,8,1,365,54,109.191298,34.442790,17.943405,142.975923,47.837912,0.000000
equilibrado,8,7,365,54,111.127312,34.181990,17.535500,144.190127,47.121511,0.000000
equilibrado,8,1,365,55,134.636579,34.151646,16.398267,163.258030,44.397074,0.000000
equilibrado,8,7,365,55,135.922584,34.237154,16.424093,164.240526,44.362532,0.000000
equilibrado,8,1,365,56,116.517304,38.460166,23.160364,163.927781,56.789147,0.000000
equilibrado,8,7,365,56,118.447420,38.657291,23.245265,165.393176,56.673355,0.000000
equilibrado,8,1,365,57,126.211607,55.672431,39.313242,166.015595,75.465710,0.000000
equilibrado,8,7,365,57,127.073454,55.325432,38.885813,166.323867,74.672810,0.000000
equilibrado,8,1,365,58,114.133956,37.686370,22.285222,159.625612,55.386674,0.000000
equilibrado,8,7,365,58,114.403622,35.385622,19.960009,159.745905,52.173001,0.000000
equilibrado,8,1,365,59,129.357689,42.809957,25.231361,158.535178,55.142259,0.000000
equilibrado,8,7,365,59,131.455837,42.004124,24.336446,160.249881,53.926572,0.000000
equilibrado,8,1,365,60,125.375655,43.318337,27.075152,166.091902,60.004108,0.000000
equilibrado,8,7,365,60,127.056811,41.623766,25.328984,167.745243,57.642883,0.000000
equilibrado,8,1,365,61,117.750740,42.069866,26.645828,164.318948,61.278592,0.000000
equilibrado,8,7,365,61,118.812472,42.345584,26.836769,164.880242,61.338827,0.000000
equilibrado,8,1,365,62,119.403371,33.187727,17.355722,162.379864,48.021099,0.000000
equilibrado,8,7,365,62,122.493901,32.248258,16.085755,163.156779,45.900281,0.000000
equilibrado,8,1,365,63,133.188989,28.963829,12.386072,172.718167,40.690151,0.000000
equilibrado,8,7,365,63,134.088810,28.567439,11.948060,173.432625,40.097391,0.000000
equilibrado,8,1,365,64,124.438103,47.984735,30.587831,154.210645,61.922917,0.000000
equilibrado,8,7,365,64,125.098795,47.635089,30.186966,154.564889,61.332061,0.000000
equilibrado,8,1,365,65,122.653557,47.089248,30.868428,162.791275,64.963268,0.000000
equilibrado,8,7,365,65,124.031973,46.469333,30.236711,164.459070,64.116967,0.000000
equilibrado,8,1,365,66,122.527711,45.345194,28.435973,156.170341,60.315372,0.000000
equilibrado,8,7,365,66,125.904417,45.277691,28.290518,159.646426,59.973499,0.000000
equilibrado,8,1,365,67,139.933459,53.410494,35.924088,172.050693,68.142418,0.000000
equilibrado,8,7,365,67,141.964337,53.359362,35.719761,173.008986,67.524486,0.000000
equilibrado,8,1,365,68,134.651304,52.480520,35.346641,169.034280,68.322324,0.000000
equilibrado,8,7,365,68,136.135283,51.754948,34.472872,169.422311,66.889083,0.000000
equilibrado,8,1,365,69,132.938160,45.144658,28.130101,168.077229,59.719218,0.000000
equilibrado,8,7,365,69,137.475431,44.511366,27.086973,169.686349,57.645409,0.000000
equilibrado,8,1,365,70,131.517180,46.310409,29.653545,169.809169,62.385455,0.000000
equilibrado,8,7,365,70,131.959751,46.347635,29.643899,169.900297,62.268422,0.000000
equilibrado,8,1,365,71,133.099900,46.922265,29.963799,168.820208,62.104758,0.000000
equilibrado,8,7,365,71,134.338434,47.044212,29.973375,169.258863,61.872291,0.000000
equilibrado,8,1,365,72,130.932343,45.104043,27.243354,157.945864,57.031823,0.000000
equilibrado,8,7,365,72,132.474335,44.521435,26.510722,158.461461,55.910778,0.000000
equilibrado,8,1,365,73,118.200439,45.870487,28.461403,146.581265,59.332046,0.000000
equilibrado,8,7,365,73,121.229225,45.976588,28.379575,148.673060,58.867741,0.000000
equilibrado,8,1,365,74,122.700587,45.738706,27.923272,148.633711,57.914646,0.000000
equilibrado,8,7,365,74,124.688517,45.557624,27.588638,149.721014,57.242298,0.000000
equilibrado,8,1,365,75,124.715277,50.800680,33.837615,158.395495,66.890420,0.000000
equilibrado,8,7,365,75,127.981441,51.209542,34.028014,160.424403,66.590497,0.000000
equilibrado,8,1,365,76,117.476047,51.318745,35.752243,162.481140,73.231587,0.000000
equilibrado,8,7,365,76,120.007387,51.197251,35.430472,163.839567,72.190356,0.000000
equilibrado,8,1,365,77,113.287826,31.678247,15.223781,148.583504,44.429339,0.000000
equilibrado,8,7,365,77,114.995267,31.516273,14.896831,149.305757,43.823342,0.000000
equilibrado,8,1,365,78,115.260223,40.738625,24.687800,154.800017,57.300135,0.000000
equilibrado,8,7,365,78,115.909751,38.997919,22.837222,154.618799,54.675804,0.000000
equilibrado,8,1,365,79,140.501972,37.051467,19.992180,176.958073,49.610395,0.000000
equilibrado,8,7,365,79,141.672885,37.164423,19.995705,177.287871,49.457843,0.000000
equilibrado,8,1,365,80,142.498197,45.931350,27.706227,168.194345,56.924656,0.000000
equilibrado,8,7,365,80,143.480328,46.121477,27.853136,168.934894,57.018006,0.000000
equilibrado,8,1,365,81,118.452373,40.909898,23.957417,150.733675,54.677412,0.000000
