# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,n_sementes,economia_produto_bps_p10,economia_produto_bps_p50,economia_produto_bps_p90,iof_evitado_bps_p10,iof_evitado_bps_p50,iof_evitado_bps_p90,spread_evitado_bps_p10,spread_evitado_bps_p50,spread_evitado_bps_p90,fixo_evitado_bps_p10,fixo_evitado_bps_p50,fixo_evitado_bps_p90,carry_criado_bps_p10,carry_criado_bps_p50,carry_criado_bps_p90,espera_criada_bps_p10,espera_criada_bps_p50,espera_criada_bps_p90,participacao_iof_p10,participacao_iof_p50,participacao_iof_p90,participacao_spread_p10,participacao_spread_p50,participacao_spread_p90,participacao_fixo_p10,participacao_fixo_p50,participacao_fixo_p90,participacao_carry_p10,participacao_carry_p50,participacao_carry_p90,taxa_netabilidade_pool_p10,taxa_netabilidade_pool_p50,taxa_netabilidade_pool_p90,delta_bps_por_1bp_spread_p10,delta_bps_por_1bp_spread_p50,delta_bps_por_1bp_spread_p90,delta_bps_por_1real_fixo_p10,delta_bps_por_1real_fixo_p50,delta_bps_por_1real_fixo_p90,delta_bps_por_1bp_carry_p10,delta_bps_por_1bp_carry_p50,delta_bps_por_1bp_carry_p90,delta_bps_por_1bp_oportunidade_aa_p10,delta_bps_por_1bp_oportunidade_aa_p50,delta_bps_por_1bp_oportunidade_aa_p90
corporativo_pesado,12,1,365,300,94.342834,108.312700,120.763064,76.808400,89.214614,101.357217,20.630961,22.194227,23.437003,0.218246,0.234511,0.253160,-3.749921,-3.549118,-3.300954,0.000000,0.000000,0.000000,0.808892,0.825336,0.838963,0.189508,0.205552,0.224516,0.001913,0.002193,0.002485,-0.035923,-0.032849,-0.030321,0.825238,0.887769,0.937480,0.825238,0.887769,0.937480,0.005456,0.005863,0.006329,-0.937480,-0.887279,-0.825238,-0.018718,-0.014235,-0.010719
corporativo_pesado,12,7,365,300,94.119653,108.034930,120.576250,76.515397,88.684477,100.828780,20.630961,22.194227,23.489560,0.218556,0.235739,0.254022,-3.758330,-3.549118,-3.300954,0.000000,0.000000,0.000000,0.808125,0.824499,0.838548,0.189853,0.206464,0.225573,0.001920,0.002204,0.002478,-0.036092,-0.033018,-0.030376,0.825238,0.887769,0.939582,0.825238,0.887769,0.939582,0.005464,0.005893,0.006351,-0.939582,-0.887279,-0.825238,-0.023920,-0.019911,-0.016794
psp_dominante,8,1,365,300,162.659162,178.605027,190.724630,145.504196,159.734435,170.867051,18.750541,20.584334,22.018950,1.376048,1.507235,1.616417,-3.523032,-3.291517,-3.000087,0.000000,0.000000,0.000000,0.893853,0.894663,0.895434,0.115187,0.115292,0.115391,0.007637,0.008502,0.009389,-0.018463,-0.018446,-0.018430,0.750022,0.823373,0.880758,0.750022,0.823373,0.880758,0.034401,0.037681,0.040410,-0.880758,-0.822879,-0.750022,-0.027069,-0.020280,-0.014125
psp_dominante,8,7,365,300,163.144883,180.360086,192.475822,145.958886,161.326642,172.435094,18.809135,20.789516,22.221017,1.386323,1.513739,1.627936,-3.555363,-3.325401,-3.009462,0.000000,0.000000,0.000000,0.893842,0.894668,0.895436,0.115186,0.115292,0.115391,0.007635,0.008487,0.009402,-0.018463,-0.018447,-0.018430,0.752365,0.831581,0.888841,0.752365,0.831581,0.888841,0.034658,0.037843,0.040698,-0.888841,-0.831350,-0.752365,-0.028625,-0.022284,-0.016194
psp_dominante,12,1,365,300,180.768745,189.761620,197.890373,161.420927,169.486553,176.865453,20.801666,21.841051,22.791940,1.731992,1.848435,1.958637,-3.646710,-3.494249,-3.328267,0.000000,0.000000,0.000000,0.892895,0.893547,0.894181,0.115064,0.115148,0.115229,0.009027,0.009733,0.010452,-0.018437,-0.018424,-0.018410,0.832067,0.873642,0.911678,0.832067,0.873642,0.911678,0.043300,0.046211,0.048966,-0.911678,-0.873562,-0.832067,-0.019919,-0.013183,-0.007813
psp_dominante,12,7,365,300,181.262394,191.278802,199.510007,162.040242,170.958136,178.400538,20.881475,22.030688,22.989760,1.737713,1.855743,1.968624,-3.678362,-3.524774,-3.341036,0.000000,0.000000,0.000000,0.892920,0.893573,0.894219,0.115067,0.115151,0.115234,0.008984,0.009701,0.010423,-0.018438,-0.018424,-0.018411,0.835259,0.881228,0.919590,0.835259,0.881228,0.919590,0.043443,0.046394,0.049216,-0.919590,-0.881194,-0.835259,-0.021156,-0.014644,-0.009271
outbound_extremo,8,1,365,300,22.338154,27.574880,32.534841,16.266738,20.532680,24.703920,4.499721,5.506178,6.690829,2.177554,2.325146,2.531456,-1.070533,-0.880209,-0.719955,0.000000,0.000000,0.000000,0.725483,0.746935,0.763393,0.185542,0.200719,0.218071,0.071975,0.085390,0.103678,-0.034891,-0.032114,-0.029687,0.179989,0.220247,0.267633,0.179989,0.220247,0.267633,0.054439,0.058129,0.063286,-0.267633,-0.220052,-0.179989,-0.014903,-0.014163,-0.013219
outbound_extremo,8,7,365,300,22.490617,27.768631,32.812175,16.539685,20.812452,24.967565,4.499721,5.506178,6.692619,2.178246,2.323897,2.531729,-1.070819,-0.880209,-0.719955,0.000000,0.000000,0.000000,0.726783,0.748245,0.765847,0.184216,0.198925,0.215787,0.071853,0.084033,0.103130,-0.034526,-0.031821,-0.029475,0.179989,0.220247,0.267705,0.179989,0.220247,0.267705,0.054456,0.058097,0.063293,-0.267705,-0.220052,-0.179989,-0.014950,-0.014197,-0.013280
outbound_extremo,12,1,365,300,20.476526,24.341667,28.318260,14.419217,17.506069,20.726817,3.947289,4.762547,5.834886,2.649133,2.820029,2.970579,-0.933582,-0.761652,-0.631566,0.000000,0.000000,0.000000,0.694825,0.718535,0.735953,0.183240,0.197285,0.212167,0.098246,0.115924,0.136797,-0.033947,-0.031534,-0.029318,0.157892,0.190502,0.233395,0.157892,0.190502,0.233395,0.066228,0.070501,0.074264,-0.233395,-0.190413,-0.157892,-0.015922,-0.015354,-0.014628
outbound_extremo,12,7,365,300,20.640961,24.416594,28.531044,14.442435,17.619252,21.011261,3.947289,4.762547,5.834886,2.650145,2.820029,2.970579,-0.933582,-0.761652,-0.631566,0.000000,0.000000,0.000000,0.696748,0.719242,0.736643,0.182042,0.196712,0.211071,0.097470,0.115664,0.135297,-0.033771,-0.031469,-0.029127,0.157892,0.190502,0.233395,0.157892,0.190502,0.233395,0.066254,0.070501,0.074264,-0.233395,-0.190413,-0.157892,-0.015927,-0.015377,-0.014667
