# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,finalidade,direcao,n_sementes,aliquota_base,iof_evitado_bps_base_p10,iof_evitado_bps_base_p50,iof_evitado_bps_base_p90,delta_bps_por_1bp_aliquota_p10,delta_bps_por_1bp_aliquota_p50,delta_bps_por_1bp_aliquota_p90
retail_pesado,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,5.163777,6.018057,6.959705,0.13588888,0.15836991,0.18315012
retail_pesado,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,36.986648,44.538886,52.683955,0.10567614,0.12725396,0.15052559
retail_pesado,8,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,3.287951,4.263388,5.479004,0.08652502,0.11219441,0.14418433
retail_pesado,8,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,43.914420,51.473385,58.309432,0.12546977,0.14706681,0.16659838
retail_pesado,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,5.958018,6.771804,7.582053,0.15678995,0.17820537,0.19952772
retail_pesado,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,40.117432,45.893083,51.756265,0.11462123,0.13112310,0.14787504
retail_pesado,12,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,2.603693,3.313456,4.139764,0.06851824,0.08719621,0.10894115
retail_pesado,12,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,40.646459,47.906548,53.791354,0.11613274,0.13687585,0.15368958
retail_pesado,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,5.958018,6.790122,7.606629,0.15678995,0.17868742,0.20017445
retail_pesado,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,41.288147,46.865948,52.760667,0.11796614,0.13390271,0.15074476
retail_pesado,12,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,2.603693,3.313456,4.139764,0.06851824,0.08719621,0.10894115
retail_pesado,12,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,39.862619,46.925599,52.675824,0.11389320,0.13407314,0.15050235
corporativo_pesado,8,1,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,8.159340,9.506757,10.962868,0.21471947,0.25017782,0.28849654
corporativo_pesado,8,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,5.366078,6.931657,8.529195,0.14121259,0.18241202,0.22445249
corporativo_pesado,8,1,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,39.246433,51.819035,67.205508,0.11213267,0.14805439,0.19201574
corporativo_pesado,8,1,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.19735456,0.24071881,0.28034037
corporativo_pesado,8,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,3.558168,7.029879,11.376131,0.01016619,0.02008537,0.03250323
corporativo_pesado,8,7,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,8.236021,9.563028,11.081884,0.21673740,0.25165863,0.29162852
corporativo_pesado,8,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,5.403428,6.989487,8.562719,0.14219548,0.18393386,0.22533471
corporativo_pesado,8,7,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,38.371027,51.653686,66.540439,0.10963150,0.14758196,0.19011554
corporativo_pesado,8,7,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.19620847,0.23983364,0.27907406
corporativo_pesado,8,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,3.558168,7.005673,11.376131,0.01016619,0.02001621,0.03250323
corporativo_pesado,12,1,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,7.937296,9.066035,10.122214,0.20887620,0.23857987,0.26637405
corporativo_pesado,12,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,7.146946,8.489732,9.867022,0.18807753,0.22341401,0.25965848
corporativo_pesado,12,1,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,54.845175,66.491576,79.513963,0.15670050,0.18997593,0.22718275
corporativo_pesado,12,1,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.18239251,0.21918479,0.25680699
corporativo_pesado,12,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,2.198758,4.490351,7.053536,0.00628217,0.01282957,0.02015296
corporativo_pesado,12,7,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,8.051651,9.121260,10.196592,0.21188556,0.24003316,0.26833137
corporativo_pesado,12,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,7.184824,8.516229,9.867022,0.18907431,0.22411130,0.25965848
corporativo_pesado,12,7,365,ANEXO_V_DISPONIBILIDADE,OUT,300,0.03500000,54.487938,66.440589,78.989360,0.15567982,0.18983026,0.22568389
corporativo_pesado,12,7,365,ANEXO_V_RECEITA_EXPORTACAO,IN,300,0E-8,0.000000,0.000000,0.000000,0.18107296,0.21797506,0.25638720
corporativo_pesado,12,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,2.198758,4.466581,6.975778,0.00628217,0.01276166,0.01993080
psp_dominante,8,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,0.978948,1.359403,1.864880,0.02576180,0.03577376,0.04907580
psp_dominante,8,1,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,49.061444,58.520267,68.841142,0.14017555,0.16720076,0.19668898
psp_dominante,8,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,13.011085,14.199649,15.389650,0.34239696,0.37367497,0.40499079
psp_dominante,8,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,72.071490,84.083520,97.661533,0.20591854,0.24023863,0.27903295
psp_dominante,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,1.204219,1.644937,2.204692,0.03168996,0.04328782,0.05801822
psp_dominante,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,50.400885,59.993373,70.396754,0.14400253,0.17140964,0.20113358
psp_dominante,8,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,12.726812,14.010787,15.240579,0.33491612,0.36870493,0.40106786
psp_dominante,8,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,72.063943,83.990436,97.573101,0.20589698,0.23997267,0.27878029
psp_dominante,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,2.005471,2.412645,3.025112,0.05277555,0.06349066,0.07960820
psp_dominante,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,65.020517,74.834347,83.031947,0.18577291,0.21381242,0.23723414
psp_dominante,12,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,13.220964,14.151711,15.002370,0.34792010,0.37241346,0.39479920
psp_dominante,12,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,68.105561,78.817241,88.603567,0.19458732,0.22519212,0.25315305
psp_dominante,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,2.247755,2.657372,3.252298,0.05915144,0.06993084,0.08558678
psp_dominante,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,66.920683,76.091227,84.047983,0.19120195,0.21740351,0.24013709
psp_dominante,12,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,13.110147,14.048574,14.852968,0.34500388,0.36969933,0.39086759
psp_dominante,12,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,68.062251,78.195725,87.928132,0.19446357,0.22341636,0.25122324
outbound_extremo,8,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,1.896007,2.537807,3.233371,0.04989492,0.06678440,0.08508872
outbound_extremo,8,1,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,4.806592,6.774370,9.273942,0.01373312,0.01935534,0.02649698
outbound_extremo,8,1,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,2.101703,2.679703,3.378037,0.05530796,0.07051850,0.08889571
outbound_extremo,8,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,1.149521,1.625718,2.141325,0.03025054,0.04278206,0.05635067
outbound_extremo,8,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,5.175492,6.691913,8.395274,0.01478712,0.01911975,0.02398650
outbound_extremo,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,1.896007,2.537807,3.233371,0.04989492,0.06678440,0.08508872
outbound_extremo,8,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,5.101037,7.104719,9.525457,0.01457439,0.02029920,0.02721559
outbound_extremo,8,7,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,2.096953,2.664471,3.377625,0.05518297,0.07011766,0.08888487
outbound_extremo,8,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,1.149521,1.625718,2.141325,0.03025054,0.04278206,0.05635067
outbound_extremo,8,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,5.152697,6.607982,8.355248,0.01472199,0.01887995,0.02387214
outbound_extremo,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,1.376906,1.846647,2.373600,0.03623438,0.04859598,0.06246316
outbound_extremo,12,1,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,3.949525,5.373004,7.297582,0.01128436,0.01535144,0.02085024
outbound_extremo,12,1,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,1.896137,2.385066,3.024119,0.04989835,0.06276490,0.07958208
outbound_extremo,12,1,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,1.340568,1.773795,2.232409,0.03527811,0.04667881,0.05874760
outbound_extremo,12,1,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,4.554684,5.809431,7.299929,0.01301338,0.01659838,0.02085694
outbound_extremo,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,IN,300,0.00380000,1.376906,1.846647,2.373600,0.03623438,0.04859598,0.06246316
outbound_extremo,12,7,365,ANEXO_V_ATIVOS_VIRTUAIS,OUT,300,0.03500000,4.080370,5.504235,7.471378,0.01165820,0.01572639,0.02134679
outbound_extremo,12,7,365,ANEXO_V_BENS_SERVICOS,OUT,300,0.00380000,1.885878,2.360282,3.013959,0.04962836,0.06211268,0.07931472
outbound_extremo,12,7,365,ANEXO_V_DISPONIBILIDADE,IN,300,0.00380000,1.340568,1.773795,2.232409,0.03527811,0.04667881,0.05874760
outbound_extremo,12,7,365,ANEXO_V_REMESSA_TERCEIRO,OUT,300,0.03500000,4.516780,5.805698,7.299929,0.01290508,0.01658771,0.02085694
